station_id,police_station,district,zone,phone
PS001,Madhapur PS,Rangareddy,Zone-2,040200001
PS002,Gachibowli PS,Medchal-Malkajgiri,Zone-3,040200002
PS003,Kukatpally PS,Warangal,Zone-1,040200003
PS004,Begumpet PS,Karimnagar,Zone-2,040200004
PS005,Banjara Hills PS,Hyderabad,Zone-3,040200005
PS006,Madhapur PS,Rangareddy,Zone-1,040200006
PS007,Gachibowli PS,Medchal-Malkajgiri,Zone-2,040200007
PS008,Kukatpally PS,Warangal,Zone-3,040200008
PS009,Begumpet PS,Karimnagar,Zone-1,040200009
PS010,Banjara Hills PS,Hyderabad,Zone-2,040200010
PS011,Madhapur PS,Rangareddy,Zone-3,040200011
PS012,Gachibowli PS,Medchal-Malkajgiri,Zone-1,040200012
PS013,Kukatpally PS,Warangal,Zone-2,040200013
PS014,Begumpet PS,Karimnagar,Zone-3,040200014
PS015,Banjara Hills PS,Hyderabad,Zone-1,040200015
PS016,Madhapur PS,Rangareddy,Zone-2,040200016
PS017,Gachibowli PS,Medchal-Malkajgiri,Zone-3,040200017
PS018,Kukatpally PS,Warangal,Zone-1,040200018
PS019,Begumpet PS,Karimnagar,Zone-2,040200019
PS020,Banjara Hills PS,Hyderabad,Zone-3,040200020
PS021,Madhapur PS,Rangareddy,Zone-1,040200021
PS022,Gachibowli PS,Medchal-Malkajgiri,Zone-2,040200022
PS023,Kukatpally PS,Warangal,Zone-3,040200023
PS024,Begumpet PS,Karimnagar,Zone-1,040200024
PS025,Banjara Hills PS,Hyderabad,Zone-2,040200025
PS026,Madhapur PS,Rangareddy,Zone-3,040200026
PS027,Gachibowli PS,Medchal-Malkajgiri,Zone-1,040200027
PS028,Kukatpally PS,Warangal,Zone-2,040200028
PS029,Begumpet PS,Karimnagar,Zone-3,040200029
PS030,Banjara Hills PS,Hyderabad,Zone-1,040200030
PS031,Madhapur PS,Rangareddy,Zone-2,040200031
PS032,Gachibowli PS,Medchal-Malkajgiri,Zone-3,040200032
PS033,Kukatpally PS,Warangal,Zone-1,040200033
PS034,Begumpet PS,Karimnagar,Zone-2,040200034
PS035,Banjara Hills PS,Hyderabad,Zone-3,040200035
PS036,Madhapur PS,Rangareddy,Zone-1,040200036
