report_id,report_type,generated_by,report_date,cases_covered,summary
R0001,Daily,Officer91,2026-04-12,48,Daily report summary 1
R0002,Case Summary,Officer71,2026-07-01,47,Case Summary report summary 2
R0003,Case Summary,Officer89,2026-05-02,29,Case Summary report summary 3
R0004,Case Summary,Officer41,2026-03-02,19,Case Summary report summary 4
R0005,Case Summary,Officer5,2026-05-26,14,Case Summary report summary 5
R0006,Daily,Officer64,2026-05-07,5,Daily report summary 6
R0007,Monthly,Officer86,2026-06-21,35,Monthly report summary 7
R0008,Weekly,Officer49,2026-03-17,31,Weekly report summary 8
R0009,Case Summary,Officer12,2026-05-13,8,Case Summary report summary 9
R0010,Daily,Officer85,2026-02-05,49,Daily report summary 10
R0011,Monthly,Officer25,2026-04-27,31,Monthly report summary 11
R0012,Case Summary,Officer11,2026-02-21,44,Case Summary report summary 12
R0013,Case Summary,Officer77,2026-06-06,45,Case Summary report summary 13
R0014,Weekly,Officer10,2026-03-24,34,Weekly report summary 14
R0015,Daily,Officer81,2026-01-15,20,Daily report summary 15
R0016,Weekly,Officer88,2026-02-24,25,Weekly report summary 16
R0017,Daily,Officer23,2026-01-08,42,Daily report summary 17
R0018,Weekly,Officer22,2026-05-23,13,Weekly report summary 18
R0019,Daily,Officer14,2026-01-04,41,Daily report summary 19
R0020,Weekly,Officer98,2026-06-07,39,Weekly report summary 20
R0021,Daily,Officer94,2026-03-06,37,Daily report summary 21
R0022,Monthly,Officer25,2026-03-25,20,Monthly report summary 22
R0023,Case Summary,Officer13,2026-07-08,37,Case Summary report summary 23
R0024,Case Summary,Officer66,2026-03-01,30,Case Summary report summary 24
R0025,Case Summary,Officer54,2026-02-08,8,Case Summary report summary 25
R0026,Monthly,Officer15,2026-07-13,8,Monthly report summary 26
R0027,Case Summary,Officer82,2026-03-16,47,Case Summary report summary 27
R0028,Case Summary,Officer59,2026-04-20,22,Case Summary report summary 28
R0029,Weekly,Officer27,2026-07-18,36,Weekly report summary 29
R0030,Monthly,Officer7,2026-05-08,30,Monthly report summary 30
R0031,Daily,Officer45,2026-01-21,45,Daily report summary 31
R0032,Weekly,Officer77,2026-05-04,5,Weekly report summary 32
R0033,Monthly,Officer60,2026-04-18,41,Monthly report summary 33
R0034,Weekly,Officer100,2026-06-06,35,Weekly report summary 34
R0035,Weekly,Officer34,2026-01-09,8,Weekly report summary 35
R0036,Case Summary,Officer70,2026-07-26,41,Case Summary report summary 36
R0037,Case Summary,Officer56,2026-04-25,9,Case Summary report summary 37
R0038,Monthly,Officer91,2026-02-12,22,Monthly report summary 38
R0039,Weekly,Officer64,2026-03-02,27,Weekly report summary 39
R0040,Weekly,Officer69,2026-05-16,32,Weekly report summary 40
R0041,Weekly,Officer11,2026-04-03,19,Weekly report summary 41
R0042,Weekly,Officer16,2026-07-02,42,Weekly report summary 42
R0043,Daily,Officer57,2026-03-14,39,Daily report summary 43
R0044,Weekly,Officer19,2026-04-07,19,Weekly report summary 44
R0045,Daily,Officer81,2026-06-24,27,Daily report summary 45
R0046,Monthly,Officer83,2026-06-24,25,Monthly report summary 46
R0047,Daily,Officer21,2026-05-24,30,Daily report summary 47
R0048,Case Summary,Officer24,2026-07-17,27,Case Summary report summary 48
R0049,Case Summary,Officer54,2026-07-07,36,Case Summary report summary 49
R0050,Monthly,Officer3,2026-06-07,25,Monthly report summary 50
R0051,Case Summary,Officer61,2026-03-09,47,Case Summary report summary 51
R0052,Weekly,Officer47,2026-04-08,39,Weekly report summary 52
R0053,Weekly,Officer39,2026-01-10,38,Weekly report summary 53
R0054,Daily,Officer28,2026-05-13,37,Daily report summary 54
R0055,Case Summary,Officer44,2026-07-13,25,Case Summary report summary 55
R0056,Monthly,Officer24,2026-05-12,24,Monthly report summary 56
R0057,Weekly,Officer69,2026-01-23,34,Weekly report summary 57
R0058,Weekly,Officer32,2026-06-08,48,Weekly report summary 58
R0059,Case Summary,Officer83,2026-05-14,38,Case Summary report summary 59
R0060,Case Summary,Officer70,2026-07-11,12,Case Summary report summary 60
R0061,Monthly,Officer41,2026-07-28,16,Monthly report summary 61
R0062,Monthly,Officer3,2026-01-11,22,Monthly report summary 62
R0063,Weekly,Officer93,2026-03-18,39,Weekly report summary 63
R0064,Case Summary,Officer83,2026-05-10,8,Case Summary report summary 64
R0065,Monthly,Officer20,2026-02-15,37,Monthly report summary 65
R0066,Case Summary,Officer23,2026-03-24,25,Case Summary report summary 66
R0067,Monthly,Officer8,2026-07-03,30,Monthly report summary 67
R0068,Daily,Officer22,2026-05-17,17,Daily report summary 68
R0069,Monthly,Officer2,2026-05-27,25,Monthly report summary 69
R0070,Case Summary,Officer67,2026-07-07,5,Case Summary report summary 70
R0071,Case Summary,Officer73,2026-02-05,35,Case Summary report summary 71
R0072,Case Summary,Officer85,2026-06-06,15,Case Summary report summary 72
R0073,Weekly,Officer93,2026-04-12,17,Weekly report summary 73
R0074,Case Summary,Officer12,2026-05-01,27,Case Summary report summary 74
R0075,Monthly,Officer82,2026-03-09,12,Monthly report summary 75
R0076,Daily,Officer44,2026-04-20,35,Daily report summary 76
R0077,Weekly,Officer89,2026-07-15,48,Weekly report summary 77
R0078,Monthly,Officer96,2026-07-26,36,Monthly report summary 78
R0079,Case Summary,Officer88,2026-03-21,43,Case Summary report summary 79
R0080,Case Summary,Officer53,2026-05-07,14,Case Summary report summary 80
R0081,Monthly,Officer39,2026-04-23,47,Monthly report summary 81
R0082,Monthly,Officer29,2026-06-23,30,Monthly report summary 82
R0083,Monthly,Officer66,2026-04-05,13,Monthly report summary 83
R0084,Monthly,Officer67,2026-01-20,19,Monthly report summary 84
R0085,Daily,Officer9,2026-05-27,6,Daily report summary 85
R0086,Monthly,Officer62,2026-02-04,12,Monthly report summary 86
R0087,Weekly,Officer3,2026-04-03,17,Weekly report summary 87
R0088,Monthly,Officer72,2026-02-20,11,Monthly report summary 88
R0089,Case Summary,Officer14,2026-06-07,13,Case Summary report summary 89
R0090,Daily,Officer20,2026-06-23,15,Daily report summary 90
